Words,Devanagari,Root
patha,पठा, पठा
tetii,तेती, तेती
nali,नलि, नलि
hallne,हल्लने, हल्लने
aiyo,आइयो, आइयो
raamrai,राम्रै, राम्रै
chahi,चाहि, चाहि
chuyo,चुयो, चुयो
jaha,जहा, जहा
aarkho,अर्को, अर्को
ekdhaam,एकदम, एकदम
bachaune,बचाउने, बचाउने
dhanyawad,धन्यबाद, धन्यबाद
jalisakyo,जलिसक्यो, जलिसक्यो
garchha,गर्छ, गर्छ
chaine,छैने, छैने
nadiney,नदिनेय्, नदिनेय्
liyera,लीएर, लीएर
dhoye,धोयी, धोयी
audina,आउडीन, आउडीन
chutyo,छुट्यो, छुट्यो
garcha,गर्छ, गर्छ
khelbad,खेलबाड, खेलबाड
tyahi,त्यही, त्यही
aucha,आउछ, आउछ
aaihalchha,आइहाल्छ, आइहाल्छ
azai,अझै, अझै
gardai,गर्दै, गर्दै
jodda,जोड्दा, जोड्दा
parecha,परेछ, परेछ
maryo,मर्यो, मर्यो
mitrata,मित्रता, मित्रता
chadi,चादी
chutiyoo,चुतियॊ
atinai,अतीनै
pathaxa,पठाछ
nalekhne,नलेख्ने
masino,मसिनो
chod,छोड
rahicha,रहिछ
pathauchu,पठाउछु
pahila,पहिला
halleko,हल्लेको
liyara,लियर
rati,राति
dekhaeko,देखेको
kevako,केभाको 
lagbhag,लगभग
dekako,देखाको
dekhayejastai,देखाएजस्तै
fataha,फटाहा
pathauxan,पठाउछन
bigrinxa,बिग्रिन्छ
pauxa,पाउछ
chan,छन
tapaiko,तपाइको
kina,किन
kapda,कपडा
gaideko,गैदेको
gariyeko,गरीएको
auni,आउनी
jutta,जूत्ता
xha,छ 
dammmi,दामी
milni,मिल्नी
marun,मरुन
navaye,नभये
kailey,कैले
hune,हुने
thyeena,थिएन
ekdaaam,एकदम
thikai,ठिकै
thyea,थिए
rakhaira,राखेर
siknus,सिक्नुस
chaliraako,चालीराको
lagirako,लागीरको
rahechha,रहेछ
garisake,गरिसके
purwa,पुर्व
shrestha,श्रेस्ठ
gayena,गएन
sangai,सन्गै
dherae,धेरै
ghukkayo,झुक्कयो
garer,गरेर
prie,प्रिय
dheraiii,धेरै
dhatuwa,धतुवा
vaado,भाडो
fusa,फुसा
khassai,खास्सै
lagairakhnu,लगाइराख्नु
haixa,हाइछ 
bhannu,भन्नू
sabae,सबए
nahile,नाहिली
sabailai,शबाइलाइ
garisakeko,गरिसकेको
oosheako,उसेअको
ramreyxa,राम्रेछ
dai,दाई
thukkw,थुक्क
sahi,सहि
maan,मन
bajauda,बजाउदा
bechnu,बेच्नु
ekai,एकै
kasaileni,कसैलेनि
socheko,सोचेको
baseka,बसेका
roco,रोको
ekdamaii,एकदमै
badako,बडाको
jalle,जलले
chhahi,चाही
naline,नलीने
garney,गर्ने
chyattejasto,च्यात्तेजस्तो
haii,है
tarika,तरिका
jasto,जस्तो
vako,भाको
bepar,बेपार
dinxa,दिन्छ
harda,हार्दा
kya,क्या
bholebaba,भोलेबाबा
haina,हैन
smma,सम्म
lekhau,लेखाउ
huntheo,हुन्थेओ
napaudae,नपाउदै
pachadi,पछाडि
tikne,टिक्ने
bechincha,बेचिन्छ
magauna,मागाउन
haar,हार
chaldai,चल्दै
napathaera,नपठाएर
maange,मांगे
purauda,पुराउद
haldina,हल्दीन
auna,आउना
diyeko,दियेको
milcha,मिल्छ
hoco,होचो
dekhauda,देखाउदा
lageyo,लागेयो
yauta,एउटा
aajhai,अझै
silaye,शिलाये
sadupayog,सदुपयोग
falafal,फालाफाल
aawna,आउन
chahi,चाही
ysko,यसको
sadaie,सधै
jari,जारी
mildaina,मिल्दैन
tyei,त्यीइ
theekai,ठिकै
kartabya,कर्तब्य
khol,खोल
sath,साथ
baahira,बाहिर
lutya,लूटे
raex,रैछ
bataula,बताउला
matrai,मात्रै
vane,भने
jhukyaune,झुक्याउने
aajai,आजै
yeslai,यसलाई
sakena,सकेन
bayo,भयो
yei,येइ
liyeko,लिएको
garepaxi,गरेपछि
euto,एउटो
vayecha,भएछ
meileta,मेलेट
cahii,चाही
nakinna,नकिन्न
vanyo,भन्यो
oilya,ओइले
mildaie,मिल्दै
rakhna,राख्न
chummi,चुम्मि
patauxha,पठाउछ
manai,मानै
marexa,मरेछ
ligani,लिगानि
adidai,अदिदै
sathai,साथै
mailai,मैलाई
bhanubhako,भनुभाको
kxa,केछ
tanda,तान्दा
walaa,वाला
fuche,फुचे
birko,बिर्को
jodera,जोदेर
chalau,चलाउ
sach,सच
mangako,मंगाको
mujhe,मुझे
aai,आई
varkhar,भर्खर
jado,जाडो
adkako,अड्काको
balla,बल्ल
jhukyera,झुकेर
ramro,राम्रो
chahana,चाहाना
sastoma,सस्तोम
paurai,पुरै
khusi,खुसि
muniko,मुनीको
dekhayera,देखायेर
buwa,बुवा
sakchhu,सक्छु
rahex,रहेछ्
audaiena,आउदैएन
xhaina,छैन
diyo,दियो
prayog,प्रयोग
banauda,बनाउदा
napaune,नपाउने
aaucha,आउछ
jada,जादा
chhittainai,छिट्टैनै
vanethyo,भनेथ्यो
bhachela,भाचेला
arko,अर्को
vayako,भयको
lincha,लिन्छ
ekdin,एकदिन
ma,म
barema,बारेमा
dagh,दाग
saro,सारो
thavayena,थाभएन
herrau,हेरौ
nalaagne,नलाग्ने
anuvab,अनुभब
taraw,तर
heresii,हेरेसी
saaf,साफ
pako,पाको
keke,केके
daro,दरो
bhitta,भित्ता
thik,ठिक
malaii,मलाई
tirdaina,तिर्दैन
samye,समय
eekdamai,एक्दमै
garena,गरेन
hudaina,हुदैन
uddaina,उद्दिन
naline,नलीने
uttam,उत्तम
ghari,घारी
asto,अस्तो
kapal,कपाल
yai,यै
chh,छछ
sunda,सुन्दा
kasri,कसरी
dhat,धत
handim,हान्दिम
pugthyeo,पुग्थ्यो
pathauxu,पठाउछु
garne,गर्ने
chhaka,छाक
nakinnu,नकिन्नु
sabaile,सबैले
dhanyabaad,धन्यबाद
yatti,यत्ती
adki,अड्कि
sakine,सकिने
mamu,मामू
ajhhai,अझै
hola,होला
kinnuparyo,किन्नुपर्यो
patak,पटक
chota,छोटा
chado,चादो
bhachiyeka,भाचिएका
rakhni,राख्नि
xiana,छैन
hunerhexa,हुनेरहेछ
hunale,हुनाले
bhaye,भये
sabun,साबुन
lagyo,लाग्यो
sochejasto,सोचेजस्तो
kasaile,कसैले
linw,लीन
yesailai,येसैलै
garyara,गरेर
yesma,येस्मा
bagmati,बाग्मती
voli,भोलि
dori,डोरि
cabahil,चाबहिल
saano,सानो
daam,दाम
vayeko,भएको
bachyo,बाच्यो
ayerw,आयेर
payine,पयीनी
jharirako,झरिराको
garda,गर्दा
aafulai,आफुलाई
pathaidinuvo,पठाइदिनुभो
vetina,bhetina
rahaxha,रहेछ 
akdam,एकदम
navayera,नभएर
vaidiyo,भैदियो
garnexu,गर्नेछु
jhut,झुट
lida,लिदा
chalya,चल्या
maxa,माछ
bech,बेच
banauxa,बनाउछ
rakhya,राखे
kinde,किन्दे
dhuka,धुक
hudai,हुदै
anushar,अनुशार
kapadako,कपडाको
bhano,भानो
haru,हरु
bacha,बचा
dekhaxa,देखाछ
chahe,चाही
manparyo,मनपर्यो
maa,म
napathaune,नपठाउने
dhanyabadh,धन्यबाद
pathayecha,पठाएछ
hudaie,हुदै
