Words,Devanagari,Root
authyo,आउथ्यो,आउथ्यो
garchhan,गर्छन,गर्छन
dagg,दाग,दाग
puraie,पुरै,पुरै
alii,अलि,अलि
ghara,घर,घर
ekdem,एकदम,एकदम
ekdami,एकदमै,एकदमै
pathauxa,पठाउछ,पठाउछ
chhodyo,छोड्यो,छोड्यो
vanxu,भन्छु,भन्छु
hunay,हुने,हुने
thekai,ठिकै,ठिकै
bhanchu,भन्छु,भन्छु
pathauchha,पठाउछ,पठाउछ
pathako,पठाको,पठाको
deyo,दियो,दियो
sadupayog,सदुपयोग,सदुपयोग
jhukera,झुकेर,झुकेर
pohor,फोहोर,फोहोर
thikei,ठिकै,ठिकै
daag,दाग,दाग
theyena,थिएन,थिएन
majale,मजाले,मजाले
aux,आउछ,आउछ
audena,आउडीन,आउडीन
kaam,काम,काम
khiyaa,खिया,खिया
aabw,आब,आब
paunu,पाउनु,पाउनु
banaucha,बनाउछ,बनाउछ
xainw,छैन,छैन
yesko,येस्को,येस्को
dekhayara,देखायर,देखायर
hunxa,हुन्छ,हुन्छ
bhayako,भयको,भयको
majaley,मजाले,मजाले
kinay,किने,किने
rakhera,राखेर,राखेर
hae,है,है
niskeko,निस्केको,निस्केको
testai,तेस्तै,तेस्तै
majjale,मज्जाले,मज्जाले
kassai,खास्सै,खास्सै
aali,अलि,अलि
majjala,मज्जाले,मज्जाले
daam,दाम,दाम
garchan,गर्छन,गर्छन
yesko,येस्को,येस्को
paxi,पछि,पछि
saraii,सारै,सारै
thiyo,थियो,थियो
aayko,आएको,आएको
khatraa,खत्रा,खत्रा
koreko,कोरेको,कोरेको
vayexa,भएछ,भएछ
ati,अती,अती
fohor,फोहोर,फोहोर
yasle,एस्ले,एस्ले
raamro,राम्रो,राम्रो
raichhaa,रैछ,रैछ
aauchha,आउछ,आउछ
yakdam,एकदम,एकदम
kiney,किने,किने
ghara,घर,घर
pachi,पछि,पछि
jastoh,जस्तो,जस्तो
thikai,ठिकै,ठिकै
saarai,सारै,सारै
pathaako,पठाको,पठाको
vandaa,भन्दा,भन्दा
aati,अती,अती
ekdammm,एकदम,एकदम
ekdamei,एकदमै,एकदमै
ramroi,राम्रै,राम्रा
vitra,भित्र,भित्र
rakhayera,राखेर,राखेर
chhain,छैन,छैन
gardae,गर्दै,गर्दै
aaux,आउछ,आउछ
parechha,परेछ,परेछ
yesle,एस्ले,एस्ले
sadhai,सधै,सधै
laai,लै,लै
samaya,समय,समय
bhaeko,भएको,भएको
ramro,राम्रो,राम्रा
kaam,काम,काम
payekoma,पाएकोमा,पाएकोमा
dekinxa,देखिन्छ,देखिन्छ
niskeko,निस्केको,निस्केको
damiii,दामी,दामी
chhaina, छैन, छैन
